id,school_code,school_ayid,message_code,type,message_text,link,feature_attachment_link,feature_attachment_type,posted_by_uuid,created,updated,blocked,actioned_by,asset_set_code,feature_asset_set_code,title,toc_subject_code,toc_book_code,toc_chapter_code,toc_topic_code,toc_class_level,event_start_time,event_end_time,sendsms,send_email,message_group,comment_setting,button_text,guru_subject_id,guru_chapter_id
531376,21409234,5,14614050,#doubt_forum,"How many keys are there here?",NULL,NULL,NULL,179729094205,"2019-06-12 09:56:20","2019-06-12 09:56:46",1,179729094205,16644684,NULL,"How many keys are there here?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,14614050,NULL,NULL,1,155
531377,21409234,5,12548888,#doubt_forum,"How many keys are there?",NULL,NULL,NULL,179729094205,"2019-06-12 09:57:42","2019-06-12 09:58:14",1,179729094205,20752953,NULL,"How many keys are there?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,12548888,NULL,NULL,1,155
531379,21409234,5,59465135,#doubt_forum,,NULL,NULL,NULL,143945040201,"2019-06-12 10:01:35","2019-06-12 10:02:03",1,143945040201,19433849,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,59465135,NULL,NULL,1,1
531380,100000001,2,18618016,#doubt_forum,,NULL,NULL,NULL,200225736905,"2019-06-12 10:02:40","2019-06-12 14:58:19",1,200225736905,51406254,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,18618016,NULL,NULL,2,13
531382,21409234,5,89991914,#doubt_forum,,NULL,NULL,NULL,211418627405,"2019-06-12 10:08:11","2019-06-12 10:08:20",1,211418627405,57138812,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,89991914,NULL,NULL,2,147
531396,100000001,2,63272355,#doubt_forum,,NULL,NULL,NULL,200225736905,"2019-06-12 11:25:44","2019-06-12 14:58:00",1,200225736905,12354576,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,63272355,NULL,NULL,2,13
531413,100000001,2,14971462,#doubt_forum,,NULL,NULL,NULL,200225736905,"2019-06-12 13:05:49","2019-06-12 14:58:08",1,200225736905,10451055,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,14971462,NULL,NULL,3,28
531416,100000001,2,17958459,#doubt_forum,,NULL,NULL,NULL,235435650217,"2019-06-12 13:50:04","2019-06-12 18:40:29",1,235435650217,10987983,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,17958459,NULL,NULL,2,49
531430,100000001,2,17872115,#doubt_forum,"text compare",NULL,NULL,NULL,200225736905,"2019-06-12 15:11:22","2019-06-12 18:40:14",1,200225736905,86791950,NULL,"text compare",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,17872115,NULL,NULL,4,170
531552,100000001,2,25585840,#doubt_forum,"fucking app",NULL,NULL,NULL,723687698092,"2019-06-13 20:21:52","2019-06-13 20:40:27",1,723687698092,NULL,NULL,"fucking app",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,25585840,NULL,NULL,4,77
531682,19828187,6,14826723,#doubt_forum,x+1,NULL,NULL,NULL,1756238,"2019-06-15 06:25:03","2019-06-20 16:05:38",1,1756238,NULL,NULL,x+1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,14826723,NULL,NULL,1,126
531914,100000001,2,44595483,#doubt_forum,Question-1,NULL,NULL,NULL,123943921402,"2019-06-18 17:35:03","2019-06-18 17:36:32",1,123943921402,29246418,NULL,Question-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,44595483,NULL,NULL,3,35
531915,100000001,2,73130940,#doubt_forum,Question-1,NULL,NULL,NULL,123943921402,"2019-06-18 17:35:04","2019-06-18 17:36:08",1,123943921402,29246418,NULL,Question-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,73130940,NULL,NULL,3,35
531916,21409234,5,30651843,#doubt_forum,question,NULL,NULL,NULL,179729094205,"2019-06-18 17:37:35","2019-06-18 17:43:03",1,179729094205,,NULL,question,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,30651843,NULL,NULL,2,145
531926,21409234,5,50344408,#doubt_forum,Question,NULL,NULL,NULL,179729094205,"2019-06-19 09:47:26","2019-06-19 09:48:52",1,179729094205,,NULL,Question,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,50344408,NULL,NULL,1,155
532290,18284043,6,14042740,#doubt_forum,"WHY THE REPLICATION IS IMPORTANT",NULL,NULL,NULL,474405378045,"2019-06-23 13:24:02","2019-06-23 13:25:12",1,474405378045,,NULL,"WHY THE REPLICATION IS IMPORTANT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,14042740,NULL,NULL,4,104
